"Year";"FleetGasoline";"FleetEthanol";"FleetFlex";"FleetDiesel";"FleetHybrid";"FleetBEV";"ModeledFleet"
"2016";"10188266,9874676317";"728623,08843881299";"26449190,9618044682";"1,06622626840012e+06";"3,62169964082539e+03";"3,29282160080786e+02";"38436258,2879119366"
"2017";"9449555,5775295570";"647062,02053841332";"27697979,2519881129";"1,15217524633591e+06";"6,88088897368249e+03";"4,63467694178142e+02";"38954116,4530598521"
"2018";"8756028,9943463057";"573619,94854321168";"29058926,1896464191";"1,24316456469238e+06";"1,07901681262417e+04";"6,35029987737553e+02";"39643164,8953422979"
"2019";"8090053,5651827548";"507692,19268843910";"30448708,9447427951";"1,34029618115149e+06";"2,25344048532459e+04";"1,16553183861057e+03";"40410450,8204573318"
"2020";"7447271,2991701858";"448658,47530841129";"31047177,0587889627";"1,44434700623917e+06";"4,20766102844557e+04";"1,95447760938146e+03";"40431484,9274005666"
"2021";"6838844,7498985333";"395943,13174755644";"31481469,0898859091";"1,55455657484094e+06";"7,38478921961230e+04";"4,79124124028084e+03";"40349452,6798093393"
"2022";"6266149,2322182907";"348954,79720006837";"31809335,8917862810";"1,67217778668484e+06";"1,14068344756501e+05";"1,31801066459638e+04";"40223866,1592919379"
"2023";"5729923,9883592809";"307184,05013621750";"32032537,7286346257";"1,79651318010881e+06";"2,37403035041442e+05";"3,00689822283219e+04";"40133630,9645086899"
"2024";"5229297,6442335593";"270127,40474238375";"32160003,9662671797";"1,92754557015609e+06";"4,50735141380720e+05";"5,61466736519899e+04";"40093856,4004319161"
"2025";"4762901,7385663306";"237314,27605518012";"32201275,3641427085";"2,06519640873400e+06";"7,61191727157406e+05";"9,21216982412381e+04";"40120001,2128968611"
"2026";"4328959,7093944009";"208308,08801118049";"32165846,7364796288";"2,20932060043386e+06";"1,17608233209133e+06";"1,38715609794269e+05";"40227233,0762046725"
"2027";"3925369,8148839027";"182706,57554584404";"32062600,3222351037";"2,35970405845820e+06";"1,70283310856495e+06";"1,96656611645363e+05";"40429870,4913333654"
"2028";"3549781,6007995754";"160141,38961592337";"31899351,4841031432";"2,51606359302717e+06";"2,34892645497296e+06";"2,66674454323861e+05";"40740938,9768426269"
"2029";"3199665,3093200778";"140277,13125928410";"31682516,9848978408";"2,67804843891794e+06";"3,12185587746585e+06";"3,49497419913439e+05";"41171861,1617744267"
"2030";"2872113,7627232550";"122809,94433098428";"31416904,9859220050";"2,84524261490853e+06";"4,02910343433489e+06";"4,45851855002713e+05";"41732026,5972223729"
"2031";"2573597,3308195691";"107465,78987457741";"31099853,0441325642";"3,01716738565620e+06";"5,06949883861453e+06";"5,58193256560563e+05";"42425775,6456580013"
"2032";"2302146,5240498204";"93998,51187502261";"30732257,4893598631";"3,19337200146189e+06";"6,24980197019424e+06";"6,87400278899626e+05";"43258976,7758404687"
"2033";"2055839,3457663900";"82187,78758199891";"30313347,6114258133";"3,37335588049693e+06";"7,57681846835831e+06";"8,34368590025467e+05";"44235917,6836549118"
"2034";"1832822,1761826572";"71837,03812042494";"29840804,6315262020";"3,55657179672695e+06";"9,05747711152196e+06";"1,00001719767897e+06";"45359529,9517571628"
"2035";"1631322,1160097907";"62771,35836492140";"29310908,9572875090";"3,74242896611376e+06";"1,06989195954477e+07";"1,18529533604147e+06";"46631646,3292651847"
"2036";"1449652,7987615431";"54835,51001723623";"28718697,3911893964";"3,93029629997184e+06";"1,25085957534425e+07";"1,39118964601902e+06";"48053267,3994015604"
"2037";"1286215,8180198767";"47892,00894609964";"28058116,0676504038";"4,11950598102002e+06";"1,44943581787390e+07";"1,61873149991015e+06";"49624819,5542855710"
"2038";"1139499,6957751482";"41819,32723056714";"27322159,1792141460";"4,30935732561627e+06";"1,66645517148008e+07";"1,86900439536040e+06";"51346391,6379972845"
"2039";"1008077,8599300293";"36510,22187635560";"26502987,4754448533";"4,49912069786479e+06";"1,90280949916794e+07";"2,14315137462673e+06";"53217942,6214221641"
"2040";"890606,5571961163";"31870,19561951063";"25592023,7557574287";"4,68804109992499e+06";"2,15945527921093e+07";"2,44238242879911e+06";"55239476,8294064850"
"2041";"785823,1328911022";"27816,09031497811";"24580025,0017893687";"4,87534101157230e+06";"2,43741993290693e+07";"2,76798184079942e+06";"57411186,4064364582"
"2042";"692544,7395915816";"24274,80984649474";"23457132,4263773821";"5,06022209223443e+06";"2,73780734236504e+07";"3,12131541870275e+06";"59733562,9104030207"
"2043";"609667,3153161426";"21182,16702513390";"22212901,6668552123";"5,24186546742617e+06";"3,06180270976534e+07";"3,50383757788543e+06";"62207481,2921614572"
"2044";"536164,5821627228";"18481,84733412865";"20836315,7734207213";"5,41943046477362e+06";"3,41067693054761e+07";"3,91709824640283e+06";"64834260,2195700780"
"2045";"471086,8213795226";"16124,48142924235";"19325731,2746632658";"5,59205180984714e+06";"3,78579065132240e+07";"4,36274958927463e+06";"67625650,4898178279"
"2046";"413559,2405040010";"14066,81785308955";"17862823,9635313563";"5,75885076657359e+06";"4,15946362516415e+07";"4,90521932138831e+06";"70549156,3614918739"
"2047";"362779,8287934252";"12270,98733574285";"16452131,3746271357";"5,91945577974644e+06";"4,53076513826849e+07";"5,55172341812736e+06";"73606012,7713149935"
"2048";"318016,6755167581";"10703,85022731776";"15098223,9203664996";"6,07351376075160e+06";"4,89876788826337e+07";"6,30981037079063e+06";"76797947,4602865130"
"2049";"278604,7889141549";"9336,41895874852";"13805499,7518136259";"6,22069678720157e+06";"5,26257601122567e+07";"7,18731611120539e+06";"80127213,9703501761"
"2050";"243942,4969530564";"8143,34789153821";"12577955,8901948053";"6,36070905787470e+06";"5,62135618946894e+07";"8,19231286589090e+06";"83596625,5534944236"
